Point,CPD (mV),WFRA (mV),WFDel (mV),Std WF,GD (au),Std GD,Z Height (um),User,Time(Secs),,
290,-38.2,-40.3,0.6,2.6,286.1,0.1,0.00,1.3,120.354,,
291,-38.4,-38.8,0.5,2.6,286.2,0.1,0.00,1.4,120.775,,
292,-41.2,-39.3,-2.4,2.6,286.2,0.1,0.00,0.2,121.196,,
293,-38.9,-39.5,0.0,2.6,286.3,0.1,0.00,1.0,121.617,,
294,-38.0,-39.4,0.8,2.6,286.2,0.1,0.00,1.3,122.023,,
295,-37.5,-38.1,1.4,2.6,286.4,0.1,0.00,1.3,122.444,,
296,-37.7,-37.7,1.2,2.6,286.2,0.1,0.00,1.4,122.865,,
297,-38.4,-37.8,0.5,2.6,286.2,0.2,0.00,0.6,123.286,,
298,-37.3,-37.8,1.6,2.6,286.4,0.2,0.00,1.3,123.692,,
299,-39.8,-38.5,-1.0,2.6,286.1,0.2,0.00,1.3,124.113,,
300,-37.8,-38.3,1.0,2.6,286.5,0.2,0.00,1.3,124.534,,
301,-37.0,-38.2,1.9,2.6,286.3,0.2,0.00,1.3,124.971,,
302,-39.1,-38.0,-0.2,2.6,286.2,0.2,0.00,-0.1,125.392,,
303,-38.6,-38.2,0.3,2.6,286.3,0.2,0.00,0.8,125.814,,
304,-42.3,-40.0,-3.4,2.6,286.4,0.2,0.00,1.3,126.219,,
305,-41.2,-40.7,-2.3,2.6,286.4,0.2,0.00,1.3,126.640,,
306,-40.5,-41.3,-1.7,2.6,286.2,0.2,0.00,1.3,127.062,,
307,-39.1,-40.3,-0.2,2.6,286.4,0.2,0.00,0.6,127.483,,
308,-40.2,-39.9,-1.3,2.6,286.3,0.2,0.00,1.3,127.888,,
309,-38.2,-39.1,0.7,2.6,286.3,0.2,0.00,1.3,128.294,,
310,-35.3,-37.9,3.5,2.5,286.4,0.2,0.00,0.3,128.715,,
311,-36.1,-36.5,2.8,2.6,286.2,0.2,0.00,1.0,129.136,,
312,-38.0,-36.5,0.8,2.6,286.1,0.2,0.00,1.3,129.542,,
313,-40.3,-38.1,-1.5,2.5,286.3,0.2,0.00,1.4,129.963,,
314,-35.4,-37.9,3.5,2.5,286.3,0.2,0.00,-0.2,130.384,,
315,-36.9,-37.5,1.9,2.5,286.3,0.2,0.00,0.9,130.806,,
316,-37.3,-36.5,1.5,2.5,286.2,0.2,0.00,1.3,131.211,,
317,-36.2,-36.8,2.6,2.5,286.3,0.2,0.00,1.3,131.632,,
318,-37.1,-36.9,1.7,2.5,286.3,0.2,0.00,1.4,132.054,,
319,-38.7,-37.4,0.1,2.5,286.4,0.2,0.00,0.6,132.475,,
320,-39.4,-38.4,-0.6,2.5,286.4,0.2,0.00,1.3,132.880,,
